,Unnamed: 0,회차,행정구역시도코드,읍면부동부코드,가구일련번호,가구원일련번호,대표가구원여부,평토일구분코드,성별코드,연령,연령코드,etc_daily,home_daily,work_daily,school_daily,home_weekend,bodyweight,dust_ingestion,inhalaion_rate
5856,5857,7차,서울,동,3219,2,일반가구원,평일,여자,70,60세 이상,60,1380,0,0,1150,62.0,20,14.61
5857,5858,7차,서울,동,3219,3,일반가구원,평일,여자,35,30~39세,0,1440,0,0,0,65.3,20,14.61
5858,5859,7차,서울,동,3219,4,일반가구원,평일,남자,28,20~29세,160,940,340,0,860,71.5,20,14.61
5859,5860,7차,서울,동,3222,1,대표가구원,평일,남자,49,40~49세,330,750,360,0,1320,80.4,20,14.61
5860,5861,7차,서울,동,3222,2,일반가구원,평일,여자,44,40~49세,290,1150,0,0,1440,69.9,20,14.61
5861,5862,7차,서울,동,3222,3,일반가구원,평일,남자,14,10~19세,20,1060,0,360,1380,70.1,20,12.73
5862,5863,7차,서울,동,3222,4,일반가구원,평일,남자,12,10~19세,20,1060,0,360,1440,46.5,20,12.73
5863,5864,7차,서울,동,3223,1,대표가구원,평일,남자,61,60세 이상,50,1200,190,0,1440,67.5,20,14.61
5864,5865,7차,서울,동,3223,2,일반가구원,평일,여자,57,50~59세,100,1120,220,0,1440,57.1,20,14.61
5865,5866,7차,서울,동,3224,1,대표가구원,평일,남자,49,40~49세,170,860,410,0,1050,78.9,20,14.61
5866,5867,7차,서울,동,3224,2,일반가구원,평일,여자,46,40~49세,190,1250,0,0,1120,65.2,20,14.61
5867,5868,7차,서울,동,3224,3,일반가구원,평일,남자,18,10~19세,40,1310,0,90,1320,61.4,20,12.73
5868,5869,7차,서울,동,3224,4,일반가구원,평일,여자,13,10~19세,30,980,0,430,1260,57.2,20,12.73
5869,5870,7차,서울,동,3225,1,대표가구원,평일,남자,49,40~49세,90,1020,330,0,1180,76.4,20,14.61
5870,5871,7차,서울,동,3225,2,일반가구원,평일,여자,48,40~49세,70,1370,0,0,1260,52.1,20,14.61
5871,5872,7차,서울,동,3226,1,대표가구원,평일,남자,41,40~49세,220,960,260,0,1380,84.2,20,14.61
5872,5873,7차,서울,동,3226,2,일반가구원,평일,여자,39,30~39세,100,1080,260,0,1160,51.1,20,14.61
5873,5874,7차,서울,동,3226,5,일반가구원,평일,여자,70,60세 이상,120,1320,0,0,1440,53.2,20,14.61
5874,5875,7차,서울,동,3227,1,대표가구원,평일,남자,60,60세 이상,360,1080,0,0,1260,64.9,20,14.61
5875,5876,7차,서울,동,3227,2,일반가구원,평일,여자,58,50~59세,420,1020,0,0,440,47.1,20,14.61
5876,5877,7차,서울,동,3227,3,일반가구원,평일,남자,32,30~39세,80,940,420,0,1440,91.4,20,14.61
5877,5878,7차,서울,동,3228,1,대표가구원,평일,남자,37,30~39세,160,840,440,0,0,71.7,20,14.61
5878,5879,7차,서울,동,3228,2,일반가구원,평일,여자,32,30~39세,160,760,520,0,1120,46.5,20,14.61
5879,5880,7차,서울,동,3229,1,대표가구원,평일,남자,48,40~49세,140,780,520,0,1440,67.4,20,14.61
5880,5881,7차,서울,동,3229,2,일반가구원,평일,여자,42,40~49세,0,1440,0,0,1440,50.8,20,14.61
5881,5882,7차,서울,동,3229,3,일반가구원,평일,남자,15,10~19세,80,840,0,520,1400,53.1,20,12.73
5882,5883,7차,서울,동,3230,1,대표가구원,평일,남자,40,40~49세,0,1440,0,0,1090,90.2,20,14.61
5883,5884,7차,서울,동,3230,2,일반가구원,평일,여자,36,30~39세,0,1440,0,0,860,48.9,20,14.61
5884,5885,7차,서울,동,3232,1,대표가구원,평일,남자,49,40~49세,0,1440,0,0,1440,84.7,20,14.61
5885,5886,7차,서울,동,3232,2,일반가구원,평일,여자,53,50~59세,80,770,590,0,1200,52.6,20,14.61
5886,5887,7차,서울,동,3232,3,일반가구원,평일,남자,15,10~19세,50,990,0,400,1440,68.5,20,12.73
5887,5888,7차,서울,동,3233,1,대표가구원,평일,남자,43,40~49세,60,1080,300,0,1350,78.3,20,14.61
5888,5889,7차,서울,동,3233,2,일반가구원,평일,여자,38,30~39세,340,1100,0,0,1220,63.9,20,14.61
5889,5890,7차,서울,동,3234,1,대표가구원,평일,남자,52,50~59세,40,1200,200,0,1300,63.8,20,14.61
5890,5891,7차,서울,동,3234,2,일반가구원,평일,여자,45,40~49세,140,970,330,0,1220,66.6,20,14.61
5891,5892,7차,서울,동,3234,3,일반가구원,평일,남자,19,10~19세,90,990,0,360,1440,99.1,20,14.61
5892,5893,7차,서울,동,3235,1,대표가구원,평일,남자,77,60세 이상,400,1040,0,0,760,63.8,20,14.61
5893,5894,7차,서울,동,3235,2,일반가구원,평일,여자,72,60세 이상,0,1440,0,0,1320,58.4,20,14.61
5894,5895,7차,서울,동,3236,1,대표가구원,평일,남자,42,40~49세,440,1000,0,0,1440,74.9,20,14.61
5895,5896,7차,서울,동,3236,2,일반가구원,평일,여자,40,40~49세,1440,0,0,0,1440,51.7,20,14.61
5896,5897,7차,서울,동,3236,3,일반가구원,평일,남자,48,40~49세,120,1320,0,0,1080,90.5,20,14.61
5897,5898,7차,서울,동,3238,1,대표가구원,평일,남자,54,50~59세,120,840,480,0,1440,92.3,20,14.61
5898,5899,7차,서울,동,3238,2,일반가구원,평일,여자,54,50~59세,360,1080,0,0,880,65.4,20,14.61
5899,5900,7차,서울,동,3238,3,일반가구원,평일,여자,28,20~29세,100,1040,180,120,1440,45.7,20,14.61
5900,5901,7차,서울,동,3240,1,대표가구원,평일,남자,55,50~59세,0,1440,0,0,800,60.6,20,14.61
5901,5902,7차,서울,동,3240,2,일반가구원,평일,여자,56,50~59세,120,1320,0,0,1160,73.1,20,14.61
5902,5903,7차,서울,동,3240,3,일반가구원,평일,여자,25,20~29세,20,940,480,0,1320,48.6,20,14.61
5903,5904,6차,서울,동,3241,1,대표가구원,평일,여자,31,30~39세,60,1200,180,0,1080,68.7,20,14.61
5904,5905,6차,서울,동,3243,1,대표가구원,평일,여자,41,40~49세,220,980,240,0,1400,57.3,20,14.61
5905,5906,6차,서울,동,3243,2,일반가구원,평일,남자,39,30~39세,60,780,600,0,1440,84.1,20,14.61
5906,5907,6차,서울,동,3243,3,일반가구원,평일,여자,14,10~19세,330,760,0,350,1320,60.3,20,12.73
5907,5908,6차,서울,동,3245,1,대표가구원,평일,여자,56,50~59세,50,1310,80,0,1440,57.8,20,14.61
5908,5909,6차,서울,동,3245,2,일반가구원,평일,여자,22,20~29세,40,1340,60,0,1000,47.3,20,14.61
5909,5910,6차,서울,동,3245,3,일반가구원,평일,여자,49,40~49세,40,1040,360,0,1190,61.8,20,14.61
5910,5911,6차,서울,동,3246,1,대표가구원,평일,여자,36,30~39세,120,960,360,0,1400,55.5,20,14.61
5911,5912,6차,서울,동,3246,2,일반가구원,평일,남자,40,40~49세,120,1020,300,0,950,76.1,20,14.61
5912,5913,6차,서울,동,3247,1,대표가구원,평일,여자,42,40~49세,0,1440,0,0,420,54.2,20,14.61
5913,5914,6차,서울,동,3247,2,일반가구원,평일,남자,19,10~19세,0,1440,0,0,0,86.0,20,14.61
5914,5915,6차,서울,동,3248,1,대표가구원,평일,남자,72,60세 이상,240,1200,0,0,1340,72.6,20,14.61
5915,5916,6차,서울,동,3248,2,일반가구원,평일,여자,66,60세 이상,0,1440,0,0,1120,52.6,20,14.61
5916,5917,6차,서울,동,3249,1,대표가구원,평일,남자,45,40~49세,0,1440,0,0,1440,71.5,20,14.61
5917,5918,6차,서울,동,3249,2,일반가구원,평일,여자,45,40~49세,0,1440,0,0,1300,79.5,20,14.61
5918,5919,6차,서울,동,3250,1,대표가구원,평일,남자,46,40~49세,340,900,200,0,1440,83.7,20,14.61
5919,5920,6차,서울,동,3250,2,일반가구원,평일,남자,17,10~19세,80,940,420,0,1080,48.7,20,12.73
5920,5921,6차,서울,동,3251,1,대표가구원,평일,남자,35,30~39세,50,1010,380,0,720,69.6,20,14.61
5921,5922,6차,서울,동,3253,1,대표가구원,평일,여자,58,50~59세,420,1020,0,0,1440,59.6,20,14.61
5922,5923,6차,서울,동,3253,2,일반가구원,평일,남자,59,50~59세,40,1400,0,0,1440,59.0,20,14.61
5923,5924,6차,서울,동,3253,3,일반가구원,평일,여자,26,20~29세,160,880,400,0,1160,85.5,20,14.61
5924,5925,6차,서울,동,3253,4,일반가구원,평일,남자,25,20~29세,0,1440,0,0,1320,75.8,20,14.61
5925,5926,6차,서울,동,3254,1,대표가구원,평일,여자,61,60세 이상,40,900,500,0,1320,61.3,20,14.61
5926,5927,6차,서울,동,3254,2,일반가구원,평일,남자,29,20~29세,250,1020,170,0,1120,66.3,20,14.61
5927,5928,6차,서울,동,3255,1,대표가구원,평일,여자,80,60세 이상,120,1320,0,0,1440,43.1,20,14.61
5928,5929,5차,서울,동,3256,1,대표가구원,평일,여자,53,50~59세,180,1260,0,0,1280,58.5,20,14.61
5929,5930,5차,서울,동,3256,2,일반가구원,평일,여자,24,20~29세,0,1440,0,0,1200,53.3,20,14.61
5930,5931,5차,서울,동,3256,3,일반가구원,평일,여자,24,20~29세,0,1440,0,0,1440,50.0,20,14.61
5931,5932,5차,서울,동,3257,1,대표가구원,평일,남자,80,60세 이상,0,1440,0,0,960,72.6,20,14.61
5932,5933,5차,서울,동,3257,2,일반가구원,평일,여자,78,60세 이상,0,1440,0,0,1160,65.1,20,14.61
5933,5934,5차,서울,동,3258,1,대표가구원,평일,남자,78,60세 이상,440,1000,0,0,1240,57.2,20,14.61
5934,5935,5차,서울,동,3258,2,일반가구원,평일,여자,74,60세 이상,100,1340,0,0,1290,59.7,20,14.61
5935,5936,5차,서울,동,3258,3,일반가구원,평일,여자,21,20~29세,100,1020,0,320,920,57.6,20,14.61
5936,5937,5차,서울,동,3258,4,일반가구원,평일,여자,16,10~19세,40,940,0,460,1440,58.2,20,12.73
5937,5938,5차,서울,동,3259,1,대표가구원,평일,여자,80,60세 이상,0,1440,0,0,840,61.4,20,14.61
5938,5939,5차,서울,동,3260,1,대표가구원,평일,남자,51,50~59세,480,960,0,0,1440,54.8,20,14.61
5939,5940,5차,서울,동,3260,2,일반가구원,평일,여자,51,50~59세,530,910,0,0,1440,55.6,20,14.61
5940,5941,5차,서울,동,3260,3,일반가구원,평일,여자,23,20~29세,30,1280,0,130,1440,52.5,20,14.61
5941,5942,5차,서울,동,3260,4,일반가구원,평일,남자,19,10~19세,290,1150,0,0,980,63.0,20,14.61
5942,5943,5차,서울,동,3262,1,대표가구원,평일,남자,72,60세 이상,210,1230,0,0,1440,55.7,20,14.61
5943,5944,5차,서울,동,3262,2,일반가구원,평일,여자,73,60세 이상,150,1290,0,0,1120,56.1,20,14.61
5944,5945,5차,서울,동,3263,1,대표가구원,평일,여자,49,40~49세,60,780,600,0,1440,56.1,20,14.61
5945,5946,5차,서울,동,3263,2,일반가구원,평일,여자,76,60세 이상,60,1380,0,0,1320,48.0,20,14.61
5946,5947,5차,서울,동,3264,1,대표가구원,평일,여자,42,40~49세,0,1440,0,0,1440,60.0,20,14.61
5947,5948,5차,서울,동,3264,3,일반가구원,평일,여자,13,10~19세,60,1290,0,90,1140,67.8,20,12.73
5948,5949,5차,서울,동,3264,4,일반가구원,평일,여자,11,10~19세,150,1290,0,0,980,42.0,30,12.73
5949,5950,5차,서울,동,3267,1,대표가구원,평일,남자,74,60세 이상,520,920,0,0,1180,52.2,20,14.61
5950,5951,5차,서울,동,3267,2,일반가구원,평일,여자,71,60세 이상,340,1100,0,0,1040,52.7,20,14.61
5951,5952,5차,서울,동,3268,1,대표가구원,평일,여자,45,40~49세,360,1080,0,0,900,67.3,20,14.61
5952,5953,5차,서울,동,3268,2,일반가구원,평일,남자,48,40~49세,360,1080,0,0,1180,67.4,20,14.61
5953,5954,5차,서울,동,3269,1,대표가구원,평일,남자,58,50~59세,200,1240,0,0,1400,76.1,20,14.61
5954,5955,5차,서울,동,3269,2,일반가구원,평일,여자,57,50~59세,380,1060,0,0,960,56.7,20,14.61
5955,5956,5차,서울,동,3270,1,대표가구원,평일,남자,25,20~29세,0,1440,0,0,1440,79.7,20,14.61
5956,5957,5차,서울,동,3270,2,일반가구원,평일,여자,54,50~59세,240,1200,0,0,1290,60.3,20,14.61
5957,5958,5차,서울,동,3271,1,대표가구원,평일,남자,38,30~39세,140,880,420,0,1320,77.8,20,14.61
5958,5959,5차,서울,동,3271,2,일반가구원,평일,여자,34,30~39세,220,1220,0,0,790,62.9,20,14.61
5959,5960,5차,서울,동,3272,1,대표가구원,평일,남자,39,30~39세,100,880,460,0,1370,82.0,20,14.61
5960,5961,5차,서울,동,3272,2,일반가구원,평일,여자,40,40~49세,0,1440,0,0,1280,62.5,20,14.61
5961,5962,5차,서울,동,3273,1,대표가구원,평일,남자,48,40~49세,120,840,480,0,1440,69.1,20,14.61
5962,5963,5차,서울,동,3273,2,일반가구원,평일,여자,41,40~49세,160,1280,0,0,980,78.3,20,14.61
5963,5964,5차,서울,동,3274,1,대표가구원,평일,남자,50,50~59세,420,600,420,0,1440,67.9,20,14.61
5964,5965,5차,서울,동,3274,2,일반가구원,평일,여자,49,40~49세,240,1200,0,0,600,56.6,20,14.61
5965,5966,5차,서울,동,3275,1,대표가구원,평일,남자,53,50~59세,130,950,360,0,1060,83.1,20,14.61
5966,5967,5차,서울,동,3275,2,일반가구원,평일,여자,52,50~59세,90,1350,0,0,920,60.3,20,14.61
5967,5968,5차,서울,동,3275,3,일반가구원,평일,남자,15,10~19세,0,1440,0,0,850,60.6,20,12.73
5968,5969,5차,서울,동,3276,1,대표가구원,평일,여자,21,20~29세,0,1440,0,0,900,54.3,20,14.61
5969,5970,5차,서울,동,3276,2,일반가구원,평일,남자,23,20~29세,40,320,1080,0,900,89.3,20,14.61
5970,5971,5차,서울,동,3277,1,대표가구원,평일,남자,67,60세 이상,380,1060,0,0,1440,73.6,20,14.61
5971,5972,5차,서울,동,3277,2,일반가구원,평일,여자,66,60세 이상,360,1080,0,0,1440,46.7,20,14.61
5972,5973,5차,서울,동,3277,3,일반가구원,평일,남자,38,30~39세,50,1390,0,0,520,70.6,20,14.61
5973,5974,5차,서울,동,3277,4,일반가구원,평일,여자,38,30~39세,50,1260,130,0,1440,64.0,20,14.61
5974,5975,5차,서울,동,3277,5,일반가구원,평일,남자,12,10~19세,30,1230,0,180,1440,42.5,20,12.73
5975,5976,5차,서울,동,3280,1,대표가구원,평일,남자,58,50~59세,220,760,460,0,980,70.0,20,14.61
5976,5977,5차,서울,동,3280,2,일반가구원,평일,여자,28,20~29세,360,1080,0,0,1380,50.9,20,14.61
5977,5978,5차,서울,동,3281,1,대표가구원,평일,남자,36,30~39세,360,1080,0,0,950,67.2,20,14.61
5978,5979,5차,서울,동,3281,2,일반가구원,평일,여자,32,30~39세,20,1230,190,0,1140,56.9,20,14.61
5979,5980,5차,서울,동,3282,1,대표가구원,평일,여자,38,30~39세,120,960,360,0,1320,69.1,20,14.61
5980,5981,5차,서울,동,3283,1,대표가구원,평일,남자,33,30~39세,80,960,400,0,760,86.8,20,14.61
5981,5982,5차,서울,동,3283,2,일반가구원,평일,여자,31,30~39세,260,1180,0,0,1220,74.8,20,14.61
5982,5983,5차,서울,동,3284,1,대표가구원,평일,남자,53,50~59세,140,640,660,0,1120,64.0,20,14.61
5983,5984,5차,서울,동,3284,2,일반가구원,평일,여자,51,50~59세,100,1060,280,0,1040,60.4,20,14.61
5984,5985,5차,서울,동,3284,3,일반가구원,평일,남자,12,10~19세,60,1020,0,360,1440,43.3,20,12.73
5985,5986,5차,서울,동,3284,4,일반가구원,평일,남자,80,60세 이상,120,1320,0,0,1150,64.9,20,14.61
5986,5987,5차,서울,동,3284,5,일반가구원,평일,여자,75,60세 이상,300,1140,0,0,920,49.8,20,14.61
5987,5988,5차,서울,동,3285,1,대표가구원,평일,여자,25,20~29세,70,1020,350,0,1380,55.3,20,14.61
5988,5989,5차,서울,동,3285,2,일반가구원,평일,남자,24,20~29세,20,1420,0,0,1440,66.9,20,14.61
5989,5990,5차,서울,동,3287,1,대표가구원,평일,여자,33,30~39세,0,1440,0,0,1440,54.8,20,14.61
5990,5991,5차,서울,동,3288,1,대표가구원,평일,남자,37,30~39세,280,670,490,0,960,83.7,20,14.61
5991,5992,5차,서울,동,3288,2,일반가구원,평일,여자,36,30~39세,200,1240,0,0,1440,50.5,20,14.61
5992,5993,5차,서울,동,3289,1,대표가구원,평일,남자,55,50~59세,60,880,500,0,1030,71.4,20,14.61
5993,5994,5차,서울,동,3289,2,일반가구원,평일,여자,50,50~59세,190,1150,100,0,1320,50.8,20,14.61
5994,5995,5차,서울,동,3290,1,대표가구원,평일,남자,65,60세 이상,260,1180,0,0,1100,79.5,20,14.61
5995,5996,5차,서울,동,3290,2,일반가구원,평일,여자,64,60세 이상,0,1440,0,0,1420,61.2,20,14.61
5996,5997,5차,서울,동,3290,3,일반가구원,평일,여자,80,60세 이상,0,1440,0,0,1160,42.5,20,14.61
5997,5998,6차,서울,동,3291,1,대표가구원,평일,여자,49,40~49세,0,1440,0,0,1120,55.9,20,14.61
5998,5999,6차,서울,동,3291,2,일반가구원,평일,남자,56,50~59세,40,1080,320,0,1000,50.8,20,14.61
5999,6000,6차,서울,동,3291,3,일반가구원,평일,여자,11,10~19세,20,1060,0,360,1440,44.4,30,12.73
6000,6001,6차,서울,동,3292,1,대표가구원,평일,여자,59,50~59세,80,1360,0,0,1440,50.9,20,14.61
6001,6002,6차,서울,동,3292,2,일반가구원,평일,남자,65,60세 이상,130,590,720,0,1080,62.5,20,14.61
6002,6003,6차,서울,동,3294,1,대표가구원,평일,남자,70,60세 이상,230,1210,0,0,780,62.5,20,14.61
6003,6004,6차,서울,동,3294,2,일반가구원,평일,남자,49,40~49세,80,950,410,0,1420,79.4,20,14.61
6004,6005,6차,서울,동,3295,1,대표가구원,평일,여자,58,50~59세,60,1020,360,0,1140,55.7,20,14.61
6005,6006,6차,서울,동,3295,2,일반가구원,평일,남자,25,20~29세,120,940,380,0,1440,76.7,20,14.61
6006,6007,6차,서울,동,3296,1,대표가구원,평일,여자,38,30~39세,190,1010,240,0,960,60.0,20,14.61
6007,6008,6차,서울,동,3296,2,일반가구원,평일,남자,37,30~39세,150,880,410,0,580,66.9,20,14.61
6008,6009,6차,서울,동,3297,1,대표가구원,평일,남자,49,40~49세,120,760,560,0,740,72.4,20,14.61
6009,6010,6차,서울,동,3297,2,일반가구원,평일,여자,80,60세 이상,240,1200,0,0,1100,51.4,20,14.61
6010,6011,6차,서울,동,3297,3,일반가구원,평일,여자,32,30~39세,120,880,440,0,1280,47.0,20,14.61
6011,6012,6차,서울,동,3297,4,일반가구원,평일,여자,11,10~19세,20,1060,0,360,1440,50.9,30,12.73
6012,6013,6차,서울,동,3298,1,대표가구원,평일,여자,34,30~39세,200,1180,60,0,1140,50.2,20,14.61
6013,6014,6차,서울,동,3298,2,일반가구원,평일,남자,37,30~39세,260,700,480,0,1200,88.0,20,14.61
6014,6015,6차,서울,동,3299,1,대표가구원,평일,여자,59,50~59세,130,1310,0,0,1440,39.4,20,14.61
6015,6016,6차,서울,동,3299,2,일반가구원,평일,남자,61,60세 이상,230,550,660,0,0,63.3,20,14.61
6016,6017,6차,서울,동,3299,3,일반가구원,평일,여자,36,30~39세,120,840,480,0,1400,53.6,20,14.61
6017,6018,6차,서울,동,3302,1,대표가구원,평일,남자,54,50~59세,600,840,0,0,880,72.4,20,14.61
6018,6019,6차,서울,동,3302,2,일반가구원,평일,여자,53,50~59세,600,840,0,0,1440,56.3,20,14.61
6019,6020,6차,서울,동,3303,1,대표가구원,평일,남자,31,30~39세,0,1440,0,0,1440,75.4,20,14.61
6020,6021,6차,서울,동,3304,1,대표가구원,평일,여자,33,30~39세,210,1230,0,0,1260,59.7,20,14.61
6021,6022,6차,서울,동,3304,2,일반가구원,평일,남자,36,30~39세,120,960,360,0,660,71.6,20,14.61
6022,6023,6차,서울,동,3305,1,대표가구원,평일,남자,40,40~49세,320,1120,0,0,1440,80.8,20,14.61
6023,6024,6차,서울,동,3305,2,일반가구원,평일,여자,33,30~39세,480,540,420,0,1060,62.0,20,14.61
6024,6025,7차,서울,동,3306,1,대표가구원,평일,여자,43,40~49세,60,900,480,0,1440,41.6,20,14.61
6025,6026,7차,서울,동,3306,2,일반가구원,평일,여자,12,10~19세,60,940,0,440,1440,60.1,20,12.73
6026,6027,7차,서울,동,3307,1,대표가구원,평일,여자,61,60세 이상,280,1160,0,0,1060,55.1,20,14.61
6027,6028,7차,서울,동,3308,1,대표가구원,평일,여자,28,20~29세,1120,0,320,0,1100,67.2,20,14.61
6028,6029,7차,서울,동,3308,2,일반가구원,평일,남자,26,20~29세,120,960,360,0,1120,55.0,20,14.61
6029,6030,7차,서울,동,3309,1,대표가구원,평일,여자,25,20~29세,120,960,360,0,1320,59.8,20,14.61
6030,6031,7차,서울,동,3310,1,대표가구원,평일,여자,51,50~59세,320,920,200,0,1400,72.1,20,14.61
6031,6032,7차,서울,동,3310,2,일반가구원,평일,여자,25,20~29세,180,760,500,0,1280,44.8,20,14.61
6032,6033,7차,서울,동,3311,1,대표가구원,평일,여자,61,60세 이상,0,1440,0,0,1200,55.2,20,14.61
6033,6034,7차,서울,동,3313,1,대표가구원,평일,남자,39,30~39세,60,660,720,0,1220,79.4,20,14.61
6034,6035,7차,서울,동,3313,2,일반가구원,평일,여자,40,40~49세,120,1320,0,0,1120,48.0,20,14.61
6035,6036,7차,서울,동,3314,1,대표가구원,평일,남자,30,30~39세,160,1120,160,0,1440,69.9,20,14.61
6036,6037,7차,서울,동,3314,2,일반가구원,평일,여자,55,50~59세,140,900,400,0,900,50.0,20,14.61
6037,6038,7차,서울,동,3315,1,대표가구원,평일,여자,35,30~39세,380,940,120,0,1330,64.7,20,14.61
6038,6039,7차,서울,동,3315,2,일반가구원,평일,여자,29,20~29세,40,900,500,0,1360,58.3,20,14.61
6039,6040,7차,서울,동,3315,3,일반가구원,평일,여자,32,30~39세,220,640,580,0,1440,52.4,20,14.61
6040,6041,7차,서울,동,3316,1,대표가구원,평일,남자,41,40~49세,250,1000,190,0,1440,86.4,20,14.61
6041,6042,7차,서울,동,3316,2,일반가구원,평일,여자,33,30~39세,100,1340,0,0,1440,60.0,20,14.61
6042,6043,7차,서울,동,3317,1,대표가구원,평일,남자,67,60세 이상,110,1330,0,0,1440,52.7,20,14.61
6043,6044,7차,서울,동,3317,2,일반가구원,평일,여자,62,60세 이상,60,1380,0,0,1440,58.9,20,14.61
6044,6045,7차,서울,동,3318,1,대표가구원,평일,남자,38,30~39세,120,840,480,0,1440,75.4,20,14.61
6045,6046,7차,서울,동,3318,2,일반가구원,평일,여자,37,30~39세,130,1310,0,0,1040,60.7,20,14.61
6046,6047,6차,서울,동,3321,1,대표가구원,평일,여자,60,60세 이상,20,840,580,0,1300,55.1,20,14.61
6047,6048,6차,서울,동,3323,1,대표가구원,평일,여자,41,40~49세,0,1440,0,0,1320,55.2,20,14.61
6048,6049,6차,서울,동,3323,2,일반가구원,평일,남자,45,40~49세,160,1050,230,0,1340,72.3,20,14.61
6049,6050,6차,서울,동,3323,3,일반가구원,평일,여자,12,10~19세,40,1040,0,360,1440,54.3,20,12.73
6050,6051,6차,서울,동,3323,4,일반가구원,평일,남자,10,10~19세,110,1050,0,280,1220,35.4,30,12.73
6051,6052,6차,서울,동,3324,1,대표가구원,평일,여자,35,30~39세,0,1440,0,0,1260,60.0,20,14.61
6052,6053,6차,서울,동,3324,2,일반가구원,평일,남자,35,30~39세,60,1140,240,0,1030,77.2,20,14.61
6053,6054,6차,서울,동,3325,1,대표가구원,평일,여자,52,50~59세,0,1440,0,0,1280,60.9,20,14.61
6054,6055,6차,서울,동,3325,2,일반가구원,평일,남자,56,50~59세,240,920,280,0,1440,72.1,20,14.61
6055,6056,6차,서울,동,3325,3,일반가구원,평일,여자,23,20~29세,180,1140,0,120,1440,57.0,20,14.61
6056,6057,6차,서울,동,3325,4,일반가구원,평일,남자,19,10~19세,520,920,0,0,1440,94.1,20,14.61
6057,6058,6차,서울,동,3326,1,대표가구원,평일,남자,22,20~29세,60,940,440,0,1440,70.0,20,14.61
6058,6059,6차,서울,동,3326,2,일반가구원,평일,여자,48,40~49세,100,1340,0,0,1440,53.0,20,14.61
6059,6060,6차,서울,동,3327,1,대표가구원,평일,남자,78,60세 이상,160,860,420,0,1220,82.1,20,14.61
6060,6061,6차,서울,동,3327,2,일반가구원,평일,여자,38,30~39세,120,1320,0,0,0,67.5,20,14.61
6061,6062,6차,서울,동,3327,3,일반가구원,평일,여자,36,30~39세,0,1440,0,0,1280,69.0,20,14.61
6062,6063,6차,서울,동,3328,1,대표가구원,평일,여자,39,30~39세,220,1220,0,0,1360,54.0,20,14.61
6063,6064,6차,서울,동,3328,2,일반가구원,평일,남자,41,40~49세,240,760,440,0,1150,48.7,20,14.61
6064,6065,6차,서울,동,3329,1,대표가구원,평일,여자,53,50~59세,300,1140,0,0,1440,54.8,20,14.61
6065,6066,6차,서울,동,3329,2,일반가구원,평일,여자,80,60세 이상,280,1160,0,0,1080,46.7,20,14.61
6066,6067,6차,서울,동,3329,3,일반가구원,평일,남자,80,60세 이상,560,880,0,0,900,74.0,20,14.61
6067,6068,6차,서울,동,3330,1,대표가구원,평일,여자,71,60세 이상,330,1110,0,0,1240,64.5,20,14.61
6068,6069,6차,서울,동,3332,1,대표가구원,평일,남자,72,60세 이상,120,1320,0,0,1180,75.4,20,14.61
6069,6070,6차,서울,동,3332,2,일반가구원,평일,여자,69,60세 이상,590,850,0,0,1440,65.5,20,14.61
6070,6071,6차,서울,동,3334,1,대표가구원,평일,여자,36,30~39세,170,1270,0,0,920,79.5,20,14.61
6071,6072,6차,서울,동,3334,2,일반가구원,평일,남자,36,30~39세,60,1050,330,0,840,76.1,20,14.61
6072,6073,6차,서울,동,3335,1,대표가구원,평일,여자,62,60세 이상,570,870,0,0,1180,54.0,20,14.61
6073,6074,6차,서울,동,3335,2,일반가구원,평일,남자,64,60세 이상,270,1170,0,0,1030,66.5,20,14.61
6074,6075,6차,서울,동,3336,1,대표가구원,평일,남자,42,40~49세,200,900,340,0,1350,71.5,20,14.61
6075,6076,6차,서울,동,3336,2,일반가구원,평일,여자,39,30~39세,100,980,360,0,1260,50.4,20,14.61
6076,6077,6차,서울,동,3337,1,대표가구원,평일,여자,76,60세 이상,500,940,0,0,680,54.9,20,14.61
6077,6078,6차,서울,동,3341,1,대표가구원,평일,여자,49,40~49세,130,950,360,0,1440,67.6,20,14.61
6078,6079,6차,서울,동,3341,2,일반가구원,평일,남자,53,50~59세,90,900,450,0,1140,67.8,20,14.61
6079,6080,6차,서울,동,3341,3,일반가구원,평일,여자,22,20~29세,130,1010,0,300,1160,63.0,20,14.61
6080,6081,6차,서울,동,3341,4,일반가구원,평일,여자,19,10~19세,130,950,0,360,1280,62.3,20,14.61
6081,6082,6차,서울,동,3342,1,대표가구원,평일,여자,27,20~29세,210,1230,0,0,1440,52.9,20,14.61
6082,6083,6차,서울,동,3342,2,일반가구원,평일,남자,60,60세 이상,210,890,340,0,1160,62.0,20,14.61
6083,6084,6차,서울,동,3342,3,일반가구원,평일,여자,57,50~59세,150,890,400,0,1040,74.7,20,14.61
6084,6085,6차,서울,동,3342,4,일반가구원,평일,여자,31,30~39세,100,920,420,0,1160,58.7,20,14.61
6085,6086,6차,서울,동,3343,1,대표가구원,평일,여자,61,60세 이상,170,1270,0,0,1440,57.4,20,14.61
6086,6087,6차,서울,동,3343,2,일반가구원,평일,남자,37,30~39세,300,810,330,0,1440,66.8,20,14.61
6087,6088,6차,서울,동,3344,1,대표가구원,평일,여자,40,40~49세,180,1260,0,0,1180,59.1,20,14.61
