CHEM,CAS_Num,MW,MP,Kow,VP,WS,Koc,Biod_class
"2,4,6-Cycloheptatrien-1-one, 2-hydroxy-4-(1-methylethyl)-",000499-44-5,164.21,71.22,67.60829754,0.0052,1592,56.84,not biodegradable
"1-Hexadecen-3-ol, 3,7,11,15-tetramethyl-",000505-32-8,296.54,70.18,169824365.2,0.00188,0.003893,116400,not biodegradable
"2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-",000520-45-6,168.15,85.17,6.025595861,0.189,13590,48.1,readily biodegradable
D-Gluconic acid,000526-95-4,196.16,161.68,0.013489629,0.000000109,1000000,0.01988,readily biodegradable
"D-Gluconic acid, monosodium salt",000527-07-1,218.14,265.41,1.02E-06,9.63E-16,1000000,0.0001046,readily biodegradable
"Benzoic acid, sodium salt",000532-32-1,144.11,192.35,0.005370318,0.000000489,1000000,0.07945,readily biodegradable
SODIUM SESQUICARBONATE,000533-96-0,105.99,139.88,6.46E-07,1.32E-14,1000000,0.0005393,readily biodegradable
"1-Propene, 1,3-dichloro-",000542-75-6,110.97,-72.77,194.98446,2970,1994,57.73,not biodegradable
"9-Octadecenoic acid (Z)-, ammonium salt",000544-60-5,299.5,214.9,70794.57844,0.00000101,0.8852,2391,readily biodegradable
Tetradecanoic acid,000544-63-8,228.38,99.73,954992.586,0.0346,0.4668,3430,readily biodegradable
"10-Undecenoic acid, zinc salt",000557-08-4,431.94,198.46,19498446,2.82E-08,0.001152,31540,not biodegradable
"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-",000562-74-3,154.25,14.86,2137.96209,5.7,386.6,207.4,not biodegradable
POTASSIUM CARBONATE,000584-08-7,138.21,139.88,6.46E-07,3.25E-15,1000000,0.0005393,readily biodegradable
Allethrin,000584-79-2,302.42,126.18,331131.1215,0.0047,0.9838,5001,not biodegradable
"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",000586-62-9,136.24,-29.51,75857.7575,133,3.838,7570,readily biodegradable
"2,4-Hexadienoic acid, potassium salt",000590-00-1,150.22,173.92,0.006456542,0.00000237,1000000,0.08798,readily biodegradable
"Carbamic acid, methyl ester",000598-55-0,75.07,-47.05,0.309029543,73,488200,3.003,not biodegradable
"Butanedioic acid, hydroxy-, (.+-.)-",000617-48-1,134.09,112.71,0.020892961,0.00039,1000000,0.1115,readily biodegradable
-,000624-52-2,148.2,31.06,9.77237221,0.126,11010,3.624,readily biodegradable
"Dodecanoic acid, sodium salt",000629-25-4,222.31,216.51,15.48816619,2.04E-08,3244,6.516,readily biodegradable
"Benzene, 1,1 ,1  ,1   -(1,2-ethenediylidene)tetrakis-",000632-51-9,332.45,168.44,2818382.931,0.00000259,0.02461,395900,not biodegradable
"2(3H)-Furanone, 5-hexyldihydro-",000706-14-9,170.25,20.2,371.5352291,0.683,291.6,231.2,readily biodegradable
"2-Propanol, 1-phenoxy-",000770-35-4,152.19,20.99,33.11311215,0.693,10130,28.85,readily biodegradable
"1,3-Dioxan-4-ol, 2,6-dimethyl-, acetate",000828-00-2,174.2,7.53,3.090295433,18.9,22580,8.899,readily biodegradable
"3-Hexen-1-ol, (Z)-",000928-96-1,100.16,-38.47,40.73802778,125,16000,25.36,readily biodegradable
Dichlofluanid,001085-98-9,333.22,140.58,524.8074602,0.000396,5.408,1169,not biodegradable
"1,2-OCTANEDIOL",001117-86-8,146.23,23.77,46.77351413,0.217,2933,10.62,readily biodegradable
"2-Buten-1-ol, 3-methyl-, acetate",001191-16-8,128.17,-53.9,151.3561248,556,1289,116.2,readily biodegradable
"1,3-Benzodioxole-5-propanal, .alpha.-methyl-",001205-17-0,192.22,76.59,323.5936569,0.107,342.6,157,not biodegradable
"Cyclopenta g -2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamet",001222-05-5,258.41,102.64,1819700.859,0.0683,0.1943,12530,not biodegradable
"Benzenesulfonic acid, dimethyl-, sodium salt",001300-72-7,208.21,233.42,0.013803843,1.52E-09,1000000,0.7876,not biodegradable
Boron oxide (B2O3),001303-86-2,61.83,267.04,0.602559586,9.82E-15,98150,1.403,readily biodegradable
Calcium hydroxide,001305-62-0,74.09,281.31,0.134896288,1.96E-16,741700,0.1756,not biodegradable
Calcium oxide (CaO),001305-78-8,56.08,242.69,0.26915348,1.35E-09,420900,0.3198,readily biodegradable
Potassium hydroxide,001310-58-3,56.11,320.19,0.000131826,6.12E-19,1000000,0.0004287,readily biodegradable
Sodium hydroxide,001310-73-2,40,320.19,0.000131826,6.53E-19,1000000,0.0004287,readily biodegradable
Zinc oxide (ZnO),001314-13-2,81.39,251.64,33.88441561,3.52E-10,6431,21.26,not biodegradable
Zinc sulfide,001314-98-3,97.45,192.01,33.88441561,0.000000174,5883,21.26,not biodegradable
Copper (2) oxide,001317-38-0,79.55,242.69,26.91534804,1.35E-09,7891,17.41,not biodegradable
"Phenol, methyl-",001319-77-3,108.14,15.69,114.8153621,33.4,9066,148.1,readily biodegradable
"Benzene, dimethyl-",001330-20-7,106.17,-40.69,1230.268771,908,224.1,552.3,readily biodegradable
SODIUM FLUORIDE,001333-83-1,41.99,296.43,0.169824365,7.24E-24,595000,0.2144,readily biodegradable
"Ionone, methyl-",001335-46-2,206.33,59.38,69183.09709,0.817,2.98,6278,not biodegradable
ISOCYCLOCITRAL,001335-66-6,152.24,-2.5,1862.087137,23.3,119.3,319.6,readily biodegradable
Ammonium hydroxide,001336-21-6,35.05,284.38,0.002187762,5.19E-16,1000000,0.004909,readily biodegradable
Copper naphthenate,001338-02-9,274.87,92.71,14791.08388,0.017,4.722,1005,not biodegradable
"(Z)-Sorbitan, Mono-9-octadecenoate",001338-43-8,428.61,223.05,776247.1166,1.38E-12,0.01914,1599,inherently biodegradable
AMMONIUM DIFLUORIDE,001341-49-7,55.03,260.65,4.27E-05,2.19E-11,1000000,0.000161,readily biodegradable
Tannins,001401-55-4,636.48,349.84,0.645654229,1.18E-26,512.4,18.92,readily biodegradable
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-",001490-04-6,156.27,-5.9,2398.832919,1.02,434.5,189.7,not biodegradable
"Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl",001506-02-1,258.41,106.87,2238721.139,0.0252,0.2879,18770,not biodegradable
"2-Propanol, 1-propoxy-",001569-01-3,118.18,-33.54,3.090295433,180,125100,4.944,readily biodegradable
"1-Dodecanamine, N,N-dimethyl-, N-oxide",001643-20-5,229.41,167.95,46773.51413,0.000021,3.132,2772,readily biodegradable
"BENZENEMETHANOL, 2,4-DICHLORO-",001777-82-8,177.03,54.13,229.0867653,0.0827,1762,65.92,not biodegradable
"1,3-Benzenedicarbonitrile, 2,4,5,6-tetrachloro-",001897-45-6,265.91,131.51,4570.881896,0.0000629,26.01,3474,not biodegradable
"1H-Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-",001934-21-0,556.34,349.84,6.76E-11,9.91E-20,1000000,0.00001344,not biodegradable
"Benzoic acid, 2-hydroxy-, pentyl ester",002050-08-0,208.26,90.74,37153.52291,0.112,18.94,3582,readily biodegradable
"Pentanoic acid, pentyl ester",002173-56-0,172.27,-9.5,6456.54229,32.2,33.39,926.7,readily biodegradable
"Sulfuric acid, monododecyl ester, ammonium salt",002235-54-3,266.4,136.83,263.0267992,0.0000042,163.7,266.1,not biodegradable
-,002346-99-8,320.77,86.11,14791.08388,0.0003,2.534,1012,not biodegradable
-,002372-82-9,299.55,137.54,28840.31503,0.000199,19.42,1919,not biodegradable
"4,7-Methano-1H-inden-5-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",002500-83-6,192.26,34.66,707.9457844,2.84,177.4,272.9,readily biodegradable
"1,2-Benzisothiazol-3(2H)-one",002634-33-5,151.18,121.6,4.365158322,0.00343,21430,11.22,not biodegradable
"3(2H)-ISOTHIAZOLONE,2-METHYL-",002682-20-4,115.15,47.48,0.147910839,4.13,536700,2.757,not biodegradable
"2-Naphthalenesulfonic acid, 6-hydroxy-5-[(4-sulfophenyl)azo]-, disodi",002783-94-0,452.37,349.84,0.066069345,1.90E-20,20490,7.418,not biodegradable
"Acetic acid, hydroxy-, monosodium salt",002836-32-0,98.03,174.37,6.46E-06,0.000000061,1000000,0.0007474,readily biodegradable
"1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3-dichloro-, sodiumsalt",002893-78-9,219.95,276,0.87096359,1.94E-12,38420,7.438,not biodegradable
Chlorpyrifos,002921-88-2,350.59,82.93,128824.9552,0.00273,0.357,7901,not biodegradable
-,003228-02-2,150.22,38.1,3311.311215,2.33,286,1094,not biodegradable
"NITRIC ACID, COPPER (2+) SALT",003251-23-8,187.56,253.88,0.245470892,6.33E-11,168100,0.2952,not biodegradable
"Phenol, 5-chloro-2-(2,4-dichlorophenoxy)-",003380-34-5,289.55,136.79,45708.81896,0.00062,4.621,8417,not biodegradable
"Phosphorothioic acid, O,O'-(thiodi-4,1-phenylene) O,O,O',O'-tetrameth",003383-96-8,466.46,85.97,1479108.388,0.0000105,0.009531,10920,not biodegradable
1-Octen-3-ol,003391-86-4,128.22,-28.78,398.1071706,31.7,1836,89.49,readily biodegradable
"Cyclohexanol, 3-(5,5,6-trimethylbicyclo[2.2.1]hept-2-yl)-",003407-42-9,236.4,87.6,316227.766,0.00162,1.817,3596,not biodegradable
-,003586-55-8,122.12,25.78,0.001862087,0.652,1000000,0.02576,readily biodegradable
"2-Pyridinethiol, 1-oxide, sodium salt",003811-73-2,149.14,221.25,0.000104713,9.90E-09,1000000,0.07944,not biodegradable
"Benzenemethanaminium, N-ethyl-N-[4-[[4-[ethyl[(3-sulfophenyl)methyl]a",003844-45-9,793.86,349.84,1.15E-05,3.97E-40,1374,0.01341,not biodegradable
"3,5,7-Triaza-1-azoniatricyclo[3.3.1.13,7]decane, 1-(3-chloro-2-propen",004080-31-3,251.16,194.63,1.20E-06,0.000000558,289000,3.86,not biodegradable
"1-Propanol, 2-phenoxy-",004169-04-4,152.19,22.65,33.11311215,0.638,12140,25.72,readily biodegradable
"Benzoic acid, 4-hydroxy-, 1-methylethyl ester",004191-73-5,180.21,63.09,812.8305162,0.155,689.7,432.5,readily biodegradable
"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3- (1-oxododecyl)amin",004292-10-8,343.53,282.96,4.897788194,6.41E-13,1755,2.659,readily biodegradable
"2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion(1-), sodium",004418-26-2,190.13,240.47,0.478630092,5.12E-10,91340,11.85,readily biodegradable
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",004602-84-0,222.37,3.24,588843.6554,0.00525,1.287,5072,not biodegradable
"1,3,5-Triazine-1,3,5(2H,4H,6H)-triethanol",004719-04-4,219.29,155.26,2.14E-05,0.000000551,1000000,0.002104,readily biodegradable
"Phosphonic acid, octyl-",004724-48-5,194.21,76.21,275.4228703,0.000113,386,238.8,not biodegradable
"4H-Pyran-4-one, 2-ethyl-3-hydroxy-",004940-11-8,140.14,70.54,1.995262315,0.0193,24230,9.271,readily biodegradable
"Glycine, N,N-bis(carboxymethyl)-, trisodium salt",005064-31-3,257.09,199.47,8.32E-11,0.000000108,1000000,0.000003272,readily biodegradable
"2-Propanol, 1-butoxy-",005131-66-8,132.2,-21.73,9.54992586,53,42100,9.228,readily biodegradable
Sulfamic acid,005329-14-6,97.09,260.56,4.57E-05,2.01E-13,97940,13.86,not biodegradable
"2,6-Octadienal, 3,7-dimethyl-",005392-40-5,152.24,-26.74,2818.382931,12.2,84.71,401.9,readily biodegradable
"Imidazo 4,5-d imidazole-2,5(1H,3H)-dione, tetrahydro-1,3,4,6-tetrakis",005395-50-6,262.22,219.08,1.29E-08,7.60E-12,1000000,0.00003494,readily biodegradable
"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",005413-60-5,192.26,34.66,707.9457844,2.84,177.4,272.9,readily biodegradable
"Benzenepropanal, 4-methoxy-.alpha.-methyl-",005462-06-6,178.23,34.71,338.8441561,1.38,386.9,141.6,not biodegradable
"2-Propenoic acid, 3-(4-methoxyphenyl)-, 2-ethylhexyl ester",005466-77-3,290.41,99.87,630957.3445,0.00185,0.1548,13290,readily biodegradable
"1-Octanaminium, N,N-dimethyl-N-octyl-, chloride",005538-94-3,305.98,205.21,489.7788194,8.95E-08,56.72,211.8,not biodegradable
"9-Undecenoic acid, methyl ester",005760-50-9,198.31,11.61,38018.93963,3.07,5.496,2471,readily biodegradable
Endrocide (Endox) (Coumatetralyl),005836-29-3,292.34,189.63,16982.43652,2.70E-09,3.347,613.5,not biodegradable
"1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, MONOHYDRATE",005949-29-1,192.13,169.23,0.021379621,0.000000752,1000000,0.06873,readily biodegradable
"Glycine, N,N -1,2-ethanediylbis[N-(carboxymethyl)-, tetrapotassium sa",005964-35-2,444.61,246.56,6.76E-14,1.99E-10,1000000,5.50E-08,readily biodegradable
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (R)-",005989-27-5,136.24,-40.76,67608.29754,193,4.581,6324,not biodegradable
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (S)-",005989-54-8,136.24,-40.76,67608.29754,193,4.581,6324,not biodegradable
-,006004-24-6,305.55,114.27,89125.09381,0.000539,0.6742,6910,readily biodegradable
"Benzoic acid, 2-hydroxy-, hexyl ester",006259-76-3,222.29,99.68,114815.3621,0.00326,6.084,6686,readily biodegradable
DISODIUM DIHYDRATE EDTA,006381-92-6,336.21,335.19,2.00E-11,1.01E-14,1000000,0.000001278,readily biodegradable
"2,4-Imidazolidinedione, 1,3-bis(hydroxymethyl)-5,5-dimethyl-",006440-58-0,188.18,171.27,0.004265795,0.000000142,261200,0.05151,readily biodegradable
SODIUM METASILICATE,006834-92-0,122.06,311.39,2.24E-06,6.68E-15,1000000,0.00001247,not biodegradable
"Butanedioic acid, hydroxy-",006915-15-7,134.09,112.71,0.020892961,0.00039,1000000,0.1115,readily biodegradable
"1-Decanaminium, N-decyl-N,N-dimethyl-, chloride",007173-51-5,362.09,228.81,45708.81896,3.10E-09,0.5505,2603,not biodegradable
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-",007212-44-4,222.37,20.98,478630.0923,0.0789,1.532,4523,not biodegradable
"Pyrophosphoric acid, tetrapotassium salt",007320-34-5,330.34,90.27,3.55E-11,0.00000274,1000000,0.00001771,not biodegradable
-,007377-03-9,159.23,110.43,45.70881896,0.000333,2635,69.1,readily biodegradable
ALUMINUM,007429-90-5,30.01,198,2.13796209,0.000000116,59400,1.932,readily biodegradable
Silver,007440-22-4,107.87,188.6,1.698243652,0,70480,1.582,not biodegradable
CARBON,007440-44-0,16.04,-152.93,6.025595861,70700000,2610,8.823,readily biodegradable
Copper,007440-50-8,63.55,188.6,0.26915348,0,420800,0.3198,readily biodegradable
ZINC,007440-66-6,67.41,192.01,0.338844156,1.07E-20,343700,0.3906,readily biodegradable
Sulfur dioxide,007446-09-5,64.06,212.8,0.006309573,347000,1000000,0.7407,readily biodegradable
Aluminum chloride (AlCl3),007446-70-0,133.34,236.75,18.19700859,2.58E-09,7491,12.39,not biodegradable
Potassium chloide,007447-40-7,74.55,304.03,0.34673685,2.19E-14,330600,0.3984,readily biodegradable
"PHOSPHORIC ACID, MONOSODIUM SALT",007558-80-7,119.98,90.27,0.000109648,1.62E-08,1000000,0.06887,not biodegradable
#NAME?,007585-39-9,1137.02,349.84,1.86E-11,0,1000000,3.41E-07,readily biodegradable
TRISODIUM PHOSPHATE,007601-54-9,163.94,90.27,2.29E-08,0.00000392,1000000,0.0006346,not biodegradable
Silica,007631-86-9,60.08,158.94,3.388441561,0.00000714,48440,2.881,readily biodegradable
SULFUROUS ACID MONOSODIUM SALT,007631-90-5,104.06,349.84,3.09E-08,3.76E-22,1000000,0.0008561,not biodegradable
Sodium nitrate,007631-99-4,84.99,321.02,0.16218101,2.13E-15,605500,0.206,readily biodegradable
Sodium nitrite,007632-00-0,69,308.95,0.004265795,9.92E-15,1000000,0.008763,readily biodegradable
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium salt",007632-50-0,209.16,224.96,1.41E-05,2.76E-11,1000000,0.0006797,readily biodegradable
Zinc chloride (ZnCl2),007646-85-7,136.3,203.22,1.412537545,6.23E-08,64660,1.348,not biodegradable
POTASSIUM BISULFATE,007646-93-7,136.16,349.84,1.41E-07,2.01E-22,1000000,0.001984,not biodegradable
Hydrochloric acid,007647-01-0,35.45,157.8,3.467368505,0.00000555,42370,2.939,readily biodegradable
Sodium chloride,007647-14-5,58.44,304.03,0.34673685,2.08E-21,339500,0.3984,readily biodegradable
Sodium bromide,007647-15-6,102.89,313.47,0.426579519,4.77E-15,237900,0.477,not biodegradable
Phosphoric acid,007664-38-2,98,90.27,0.169824365,8.12E-09,538600,4.004,not biodegradable
Hydrofluoric acid,007664-39-3,20.01,138.38,1.698243652,0.0000221,57360,1.582,readily biodegradable
Ammonia,007664-41-7,17.03,260.6,1.698243652,2.21E-11,1000000,0.06337,readily biodegradable
Sulfuric acid,007664-93-9,98.07,270.47,0.006309573,0.019,1000000,0.7407,not biodegradable
"SULFURIC ACID, MONOSODIUM SALT",007681-38-1,120.06,349.84,1.41E-07,2.01E-22,1000000,0.001984,not biodegradable
SODIUM HYPOCHLORITE,007681-52-9,74.44,309.66,0.000380189,1.38E-11,1000000,0.001075,readily biodegradable
"DISULFUROUS ACID, DISODIUM SALT",007681-57-4,190.1,349.84,4.47E-08,1.93E-19,1000000,0.001522,not biodegradable
Tetramethrin,007696-12-0,331.42,211.26,346736.8505,0.00000167,0.7316,2795,not biodegradable
Nitric acid,007697-37-2,62,189.14,1.621810097,0.000000108,90900,1.52,readily biodegradable
SULFUR,007704-34-9,34.08,173.17,1.698243652,0.000000508,1000000,0.06337,readily biodegradable
Hydrogen peroxide,007722-84-1,34.01,205.04,0.026915348,487,1000000,0.04335,readily biodegradable
TETRASODIUM PYROPHOSPHATE,007722-88-5,265.9,90.27,3.55E-11,0.00000354,1000000,0.00001771,not biodegradable
"PEROXYDISULFURIC ACID, DIPOTASSIUM SALT",007727-21-1,270.31,349.84,0.000954993,2.44E-20,1000000,0.378,not biodegradable
Nitrogen,007727-37-9,28.01,336.69,4.677351413,2.22E+12,29330,3.811,readily biodegradable
ZINC SULFATE,007733-02-0,161.45,293.62,0.851138038,3.03E-17,77500,11.16,not biodegradable
Disodium sulfate,007757-82-6,142.04,346.06,4.17E-05,2.34E-17,1000000,0.04611,not biodegradable
SODIUM SULFITE (2:1),007757-83-7,126.04,340.43,1.66E-08,5.89E-17,1000000,0.000607,not biodegradable
SODIUM CHLORITE,007758-19-2,90.44,307.31,6.61E-08,1.29E-14,1000000,5.86E-07,readily biodegradable
PENTASODIUM TRIPOLYPHOSPHATE,007758-29-4,367.86,90.27,5.50E-14,0.00000274,1000000,4.94E-07,not biodegradable
COPPER(2+) SULFATE,007758-98-7,159.6,286.9,0.676082975,7.30E-17,96200,9.829,not biodegradable
COPPER SULFATE PENTAHYDRATE,007758-99-8,159.6,286.9,0.676082975,7.30E-17,96200,9.829,not biodegradable
"Thiosulfuric acid, disodium salt",007772-98-7,158.1,342.24,2.95E-05,4.38E-17,1000000,0.03809,not biodegradable
SODIUM CHLORATE,007775-09-9,106.44,304.96,6.61E-08,9.69E-14,1000000,5.86E-07,not biodegradable
CALCIUM HYPOCHLORITE,007778-54-3,142.98,260.26,0.003467369,6.70E-09,1000000,0.007321,not biodegradable
AMMONIUM SULFATE,007783-20-2,132.13,349.84,3.01995172,8.83E-20,35160,22.49,not biodegradable
Magnesium chloride (MgCl2),007786-30-3,95.21,205.22,1.122018454,0.000000059,109500,1.104,not biodegradable
Hypochlorous acid,007790-92-3,52.46,194.89,0.134896288,2.47E-10,1000000,0.1756,readily biodegradable
"Oils, rosemary",008000-25-7,154.25,26.56,707.9457844,0.0572,1186,100.4,not biodegradable
"Oils, cedarwood",008000-27-9,204.36,47.96,549540.8739,0.0184,0.1504,95800,not biodegradable
"Oils, lavender",008000-28-0,196.29,-2.09,24547.08916,17.5,20.12,1080,not biodegradable
"Oils, citronella",008000-29-1,154.25,-28.33,3388.441561,33.9,38.94,652.1,readily biodegradable
"Oils, clove",008000-34-8,164.21,60.57,537.0317964,1.26,754,253.2,not biodegradable
Terpineol,008000-41-7,154.25,12.36,2137.96209,2.62,371.7,212.8,not biodegradable
"Oils, eucalyptus",008000-48-4,154.25,8.14,1348.962883,208,332.1,223.9,not biodegradable
"Oils, garlic",008000-78-0,146.27,-24.44,3630.780548,129,71.1,1228,not biodegradable
Soybean oil,008001-22-7,879.41,349.84,4.47E+22,6.78E-19,9.97E-20,2.10E+13,not biodegradable
Safflower oil,008001-23-8,879.41,349.84,4.47E+22,6.78E-19,9.97E-20,2.10E+13,not biodegradable
BENZALKONIUM CHLORIDE,008001-54-5,340,230.18,851.1380382,2.51E-09,22.47,287.5,not biodegradable
Castor oil,008001-79-4,905.41,349.84,1.26E+18,4.33E-27,5.06E-16,9609000000,readily biodegradable
Rape oil,008002-13-9,447.02,112.19,12302687.71,0.0000105,0.001367,51950,readily biodegradable
Paraffin waxes and Hydrocarbon waxes,008002-74-2,282.56,51.84,14454397707,0.0413,0.000009409,656800000,readily biodegradable
Palm oil,008002-75-3,859.42,349.84,3.31E+22,7.28E-18,1.73E-19,1.78E+13,not biodegradable
Pyrethrins and Pyrethroids,008003-34-7,328.46,143.07,1412537.545,0.000397,0.04642,28630,not biodegradable
"Turpentine, oil",008006-64-2,148.25,19.34,15488.16619,318,5.875,4326,not biodegradable
"Oils, peppermint",008006-90-4,156.27,-5.9,2398.832919,1.02,434.5,189.7,not biodegradable
"Oils, lemongrass",008007-02-1,152.24,-26.74,2818.382931,12.2,84.71,401.9,readily biodegradable
"Oils, cedar leaf",008007-20-3,136.24,-13.62,18620.87137,536,4.071,7130,not biodegradable
"Oils, mustard",008007-40-7,939.55,349.84,1.10E+25,5.55E-20,3.51E-22,4.41E+14,not biodegradable
"Oils, bergamot",008007-75-8,196.29,-2.09,24547.08916,17.5,20.12,1080,not biodegradable
"Oils, cassia",008007-80-5,132.16,0.04,66.0693448,4.49,2150,55.82,readily biodegradable
Kerosine (petroleum),008008-20-6,170.34,-20.85,1698243.652,31.5,0.1099,196700,readily biodegradable
"Oils, lime",008008-26-2,166.27,-14.83,4570.881896,20.2,47.5,1397,not biodegradable
"Oils, lemon",008008-56-8,136.24,-40.76,67608.29754,193,4.581,6324,not biodegradable
"Oils, orange, sweet",008008-57-9,136.24,-40.76,67608.29754,193,4.581,6324,not biodegradable
"Oils, spearmint",008008-79-5,150.22,9.86,1174.897555,17.3,367.1,416.6,not biodegradable
Paraffin oils,008012-95-1,170.34,-20.85,1698243.652,31.5,0.1099,196700,readily biodegradable
"Oils, cypress",008013-86-3,96.09,-29.49,6.760829754,309,53580,8.368,readily biodegradable
"Oils, bois de rose",008015-77-8,136.24,-15.3,22387.21139,334,7.061,4074,not biodegradable
"Oils, cinnamon",008015-91-6,132.16,0.04,66.0693448,4.49,2150,55.82,readily biodegradable
"Oils, grapefruit",008016-20-4,136.24,-40.76,67608.29754,193,4.581,6324,not biodegradable
"Oils, olibanum",008016-36-2,136.24,-40.76,67608.29754,193,4.581,6324,not biodegradable
"Oils, clary sage",008016-63-5,196.29,-2.09,24547.08916,17.5,20.12,1080,not biodegradable
"Soybean oil, hydrogenated",008016-70-4,863.45,349.84,8.91E+22,1.14E-17,6.98E-20,3.08E+13,not biodegradable
MINERAL OIL,008020-83-5,170.34,-42.96,1230268.771,165,0.1126,192800,not biodegradable
"Oils, lavandin",008022-15-9,154.25,-11.39,2398.832919,11.1,683.7,143.4,not biodegradable
"Oils, jasmine",008022-96-6,136.15,-11.87,67.60829754,50.6,1344,107.7,readily biodegradable
"Quaternary ammonium compounds, trimethyltallow alkyl, chlorides",008030-78-2,346.04,225.06,8912.509381,5.52E-09,2.76,1054,not biodegradable
"Fatty acids, tallow, sodium salts",008052-48-0,304.45,250.71,8317.637711,1.68E-10,5.209,210.9,readily biodegradable
"Lignosulfonic acid, sodium salt",008061-51-6,512.53,349.84,0.000354813,7.89E-25,522400,0.1975,not biodegradable
"Ethene, homopolymer",009002-88-4,478.94,188.12,1.10E+17,0.0000103,7.97E-13,6.15E+14,not biodegradable
"Poly(oxy-1,2-ethanediyl), ?dodecyl- -hydroxy-",009002-92-0,406.61,175.92,2511.886432,1.01E-08,11.31,87.36,not biodegradable
Octoxynol,009002-93-1,250.38,95.66,72443.59601,932,5.356,1810,not biodegradable
"1-Propene, homopolymer",009003-07-0,506.99,71.95,1.62E+17,0.0000931,3.75E-13,8.63E+14,not biodegradable
"Poly[oxy(methyl-1,2-ethanediyl)], ?butyl- -hydroxy-",009003-13-8,294.39,116.46,0.295120923,0.0000254,121700,0.5855,readily biodegradable
"2-Pyrrolidinone, 1-ethenyl-, homopolymer",009003-39-8,446.59,294.75,1.9498446,9.75E-14,42.97,8.01,not biodegradable
SODIUM LAURYL ETHER SULFATE,009004-82-4,372.46,290.23,41.68693835,2.01E-13,187.3,63.3,not biodegradable
"Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl) derivs.",009005-64-5,1007.27,349.84,0.009332543,1.15E-30,15.76,0.01904,not biodegradable
DIMETHICONE,009006-65-9,533.16,-18.38,3.31E+12,1.23,2.49E-08,73400000000,not biodegradable
"Poly(oxy-1,2-ethanediyl), ?(nonylphenyl)- -hydroxy-",009016-45-9,440.63,209.48,30199.5172,1.29E-10,0.827,484.4,not biodegradable
Boric acid,010043-35-3,61.83,267.04,0.602559586,9.82E-15,98150,1.403,readily biodegradable
Calcium chloride (CaCl2),010043-52-4,110.98,205.22,1.122018454,0.000000059,97970,1.104,not biodegradable
Chlorine dioxide,010049-04-4,67.45,156.94,0.00060256,0.00000365,1000000,0.001603,readily biodegradable
"Butanoic acid, 1,1-dimethyl-2-phenylethyl ester",010094-34-5,220.31,49.18,26915.34804,0.343,5.701,2041,not biodegradable
Dipotassium sulfite,010117-38-1,158.25,342.24,2.95E-05,4.38E-17,1000000,0.03809,not biodegradable
"Acetamide, 2,2-dibromo-2-cyano-",010222-01-2,241.87,125.76,10.23292992,0.00209,2841,58.49,not biodegradable
"1,6-Nonadien-3-ol, 3,7-dimethyl-",010339-55-6,168.28,-0.13,7413.102413,2.35,99.98,451.1,not biodegradable
"3-Octyloxy-propane-1,2-diol",010438-94-5,204.31,70.07,194.98446,0.00129,460.3,18.98,readily biodegradable
"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, [",010453-86-8,338.45,146.28,12882495.52,0.000707,0.0415,18020,not biodegradable
"3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, (S)-",010482-56-1,154.25,12.36,2137.96209,2.62,371.7,212.8,not biodegradable
"Acetamide, N,N'-1,2-ethanediylbis N-acetyl-",010543-57-4,228.25,186.17,0.004365158,0.00000197,157400,0.3703,not biodegradable
"Naphthenic acids, zinc salts",012001-85-3,319.72,148.65,1819.700859,0.0000124,15.4,186.1,not biodegradable
Ammonium chloride,012125-02-9,53.49,268.22,4.27E-05,3.16E-10,1000000,0.000161,readily biodegradable
C.I. Pigment Yellow 100,012225-21-7,468.42,344.09,0.16218101,9.13E-22,0.9788,1.332,not biodegradable
"2-Heptanol, 2,6-dimethyl-",013254-34-7,144.26,-23.45,1288.249552,48.5,572,171.4,not biodegradable
"Zinc, bis(1-hydroxy-2(1H)-pyridinethionato-O,S)-, (T-4)-",013463-41-7,317.7,210.99,0.01023293,4.72E-08,487600,1.504,not biodegradable
